41,36.87,46.00,#,#,#,#,81.51,0.09,21.69,53.98,6.41,8.07,2.56,0.87,0.09,-1.62,22.18,896,1000.00,*1A
42,37.76,46.00,#,#,#,#,81.09,0.09,21.70,53.82,-6.15,10.12,3.41,-2.04,0.99,-2.70,22.22,896,1000.00,*C6
43,38.66,46.00,#,#,#,#,81.08,0.09,21.72,53.97,-4.33,1.69,8.16,0.49,-2.16,1.66,22.22,896,1000.00,*82
44,39.55,46.00,#,#,#,#,81.10,0.09,21.72,53.75,-3.90,1.43,10.30,0.27,-0.42,-0.11,22.32,896,1000.00,*38
45,40.45,46.00,#,#,#,#,80.91,0.09,21.73,53.30,-1.72,4.38,2.97,0.73,-0.71,0.65,22.32,896,1000.00,*15
46,41.35,46.00,#,#,#,#,81.25,0.09,21.74,52.74,-0.98,10.84,5.50,-0.57,1.00,0.30,22.32,896,1000.00,*75
47,42.24,45.30,#,#,#,#,81.13,0.09,21.74,52.48,-2.79,5.49,7.77,-0.06,0.45,-0.12,22.27,896,1000.00,*38
48,43.14,46.00,#,#,#,#,81.32,0.09,21.76,52.27,-5.44,4.73,6.36,-0.38,0.18,0.09,22.37,896,1000.00,*F7
49,44.03,46.70,#,#,#,#,80.90,0.09,21.79,52.69,-4.99,4.76,7.59,-0.35,-0.18,-0.13,22.37,896,1000.00,*8A
50,44.93,46.00,#,#,#,#,80.96,0.09,21.80,52.35,-7.14,-0.82,8.58,-1.78,-2.17,-0.92,22.46,896,1000.00,*32
51,45.83,46.00,#,#,#,#,81.16,0.09,21.79,51.86,-5.09,3.78,8.97,0.18,-0.19,-0.37,22.41,896,1000.00,*C3
52,46.72,46.00,#,#,#,#,80.86,0.09,21.81,51.63,-4.07,2.36,9.57,-0.26,0.01,0.22,22.41,896,1000.00,*4C
53,47.62,46.00,#,#,#,#,80.92,0.09,21.82,51.85,-6.91,4.74,6.81,-0.18,1.08,-1.67,22.51,896,1000.00,*6E
54,48.51,46.00,#,#,#,#,81.09,0.09,21.82,51.52,-4.88,8.51,6.38,0.26,-1.00,-0.02,22.46,896,1000.00,*8E
55,49.41,46.00,#,#,#,#,80.99,0.09,21.86,52.29,-10.56,-1.97,1.41,-1.73,0.51,-0.46,22.41,896,1000.00,*7F
56,50.31,46.00,#,#,#,#,81.36,0.09,21.85,51.59,-6.45,2.33,9.50,1.06,-0.15,-1.40,22.46,896,1000.00,*8F
57,51.20,46.00,#,#,#,#,81.41,0.09,21.86,51.41,-3.92,-8.68,0.25,-0.15,1.59,0.00,22.55,896,1000.00,*87
58,52.10,46.00,#,#,#,#,81.54,0.09,21.87,52.22,-3.73,-7.04,7.28,2.62,-4.17,2.28,22.60,896,1000.00,*B9
59,52.99,46.00,#,#,#,#,81.42,0.09,21.93,54.42,5.65,2.31,5.91,1.83,-1.47,0.33,22.51,896,1000.00,*DE
60,53.89,46.70,#,#,#,#,81.05,0.09,21.91,52.99,-6.72,-4.20,8.15,-1.29,0.07,-0.77,22.51,896,1000.00,*56
61,54.79,46.00,#,#,#,#,81.26,0.09,21.93,53.39,-3.77,-5.18,7.01,-0.10,0.32,0.09,22.55,896,1000.00,*6B
62,55.68,46.70,#,#,#,#,81.22,0.09,21.98,55.21,-4.66,-5.36,7.19,-0.32,0.06,-0.05,22.60,896,1000.00,*DA
63,56.58,46.00,#,#,#,#,81.33,0.09,22.01,56.18,-3.19,-7.38,5.64,-0.13,-0.03,-0.90,22.51,896,1000.00,*4B
64,57.47,46.00,#,#,#,#,81.25,0.09,22.01,55.39,-3.48,-8.19,5.05,0.00,0.65,0.65,22.51,896,1000.00,*BA
65,58.37,46.70,#,#,#,#,81.15,0.09,22.01,54.93,-5.86,-7.11,-1.27,-0.58,-0.11,-0.81,22.69,896,1000.00,*33
66,59.27,46.70,#,#,#,#,81.50,0.09,22.03,54.99,1.59,-5.92,7.66,1.19,0.61,0.08,22.65,897,1000.00,*27
67,60.16,46.00,#,#,#,#,81.33,0.09,22.03,54.64,-8.22,-5.23,1.46,-1.86,0.70,-0.57,22.60,896,1000.00,*BD
68,61.06,46.70,#,#,#,#,81.45,0.09,22.03,54.04,-5.83,2.87,8.74,1.48,-1.92,0.84,22.79,896,1000.00,*D8
69,61.95,46.00,#,#,#,#,80.98,0.09,22.03,53.44,5.54,-8.48,3.85,-1.92,1.05,0.02,22.74,896,1000.00,*1A
70,62.85,46.70,#,#,#,#,81.29,0.09,22.02,52.55,-6.10,-6.95,-3.14,-0.77,1.10,2.40,22.79,896,1000.00,*52
71,63.75,46.00,#,#,#,#,81.28,0.09,22.01,51.53,-1.29,-9.32,0.92,0.87,-1.94,-2.10,22.79,896,1000.00,*4B
72,64.64,46.70,#,#,#,#,81.25,0.09,22.04,52.11,1.58,-4.90,9.02,1.23,0.84,0.31,22.74,896,1000.00,*88
73,65.54,46.70,#,#,#,#,81.11,0.09,22.05,52.17,-6.61,-1.92,7.23,-0.67,0.36,0.24,22.84,896,1000.00,*36
74,66.43,46.70,#,#,#,#,81.20,0.09,22.03,51.57,-3.99,-7.79,4.32,-1.45,-0.12,-0.86,22.74,896,1000.00,*98
75,67.33,46.70,#,#,#,#,81.13,0.09,22.03,51.17,-2.33,-8.59,3.31,1.67,1.32,2.12,22.84,896,1000.00,*B5
76,68.23,46.70,#,#,#,#,80.96,0.09,22.07,52.21,-4.06,-0.95,8.18,0.11,-0.40,0.04,22.84,896,1000.00,*35
77,69.12,46.70,#,#,#,#,80.77,0.09,22.05,51.72,1.57,-2.08,8.95,-1.08,0.15,0.34,22.88,896,1000.00,*9B
78,70.02,46.70,#,#,#,#,81.08,0.09,22.04,51.17,0.32,-0.16,11.13,0.49,0.18,0.40,22.79,896,1000.00,*C0
79,70.91,46.70,#,#,#,#,80.38,0.09,22.05,51.15,4.17,-3.51,7.75,-1.08,-2.09,-0.34,22.93,896,1000.00,*2A
80,71.81,46.70,#,#,#,#,80.87,0.09,22.06,51.20,6.29,-5.23,4.15,-0.34,-0.19,0.06,22.88,896,1000.00,*48
81,72.71,46.70,#,#,#,#,80.79,0.09,22.06,51.14,2.63,-3.96,7.70,-0.28,-0.39,-0.05,22.88,896,1000.00,*AC
82,73.60,47.40,#,#,#,#,80.68,0.09,22.06,51.00,3.25,0.17,9.38,-0.07,0.26,-0.34,22.93,896,1000.00,*68
83,74.50,46.70,#,#,#,#,80.48,0.09,22.07,51.01,0.84,-1.44,10.54,-0.01,0.01,0.20,22.93,896,1000.00,*80
84,75.39,47.40,#,#,#,#,80.74,0.09,22.05,50.86,1.55,0.92,10.34,-0.10,0.05,-0.01,22.88,896,1000.00,*95
85,76.29,47.40,#,#,#,#,80.77,0.09,22.07,50.82,1.75,0.97,10.22,-0.06,0.03,-0.01,22.88,896,1000.00,*F5
86,77.19,46.70,#,#,#,#,80.86,0.09,22.07,50.76,1.67,0.92,9.98,-0.07,0.03,-0.01,22.98,896,1000.00,*90
87,78.08,46.70,#,#,#,#,80.64,0.09,22.06,50.60,1.69,0.87,10.08,-0.06,0.03,-0.01,22.84,896,1000.00,*61
88,78.98,47.40,#,#,#,#,80.90,0.09,22.06,50.40,1.70,0.91,10.05,-0.06,0.03,-0.02,22.93,896,1000.00,*8D
89,79.87,46.70,#,#,#,#,80.51,0.09,22.06,50.15,1.67,0.90,10.06,-0.07,0.03,-0.02,23.02,896,1000.00,*3A
90,80.77,47.40,#,#,#,#,80.65,0.09,22.06,49.99,1.70,0.95,10.04,-0.07,0.03,-0.01,23.02,896,1000.00,*70
91,81.67,47.40,#,#,#,#,80.49,0.09,22.06,49.83,1.70,0.89,10.03,-0.06,0.03,-0.02,23.07,896,1000.00,*5C
92,82.56,47.40,#,#,#,#,80.78,0.09,22.06,49.62,1.66,0.86,10.13,-0.07,0.03,-0.01,23.02,896,1000.00,*78
93,83.46,47.40,#,#,#,#,80.39,0.09,22.05,49.44,1.71,0.91,10.09,-0.07,0.03,-0.01,23.02,896,1000.00,*3B
94,84.35,47.40,#,#,#,#,80.78,0.09,22.04,49.30,1.65,0.89,10.14,-0.06,0.03,-0.01,22.93,896,1000.00,*E6
95,85.25,47.40,#,#,#,#,80.68,0.09,22.05,49.26,1.66,0.98,10.10,-0.06,0.03,-0.01,22.98,896,1000.00,*CD
96,86.15,47.40,#,#,#,#,80.55,0.09,22.05,49.20,1.65,0.87,10.10,-0.07,0.03,-0.01,22.93,896,1000.00,*41
97,87.04,47.40,#,#,#,#,80.52,0.09,22.05,49.12,1.67,0.99,10.03,-0.06,0.03,-0.01,22.98,896,1000.00,*9D
98,87.94,46.70,#,#,#,#,80.70,0.09,22.05,49.04,1.63,0.90,10.02,-0.07,0.03,-0.01,22.88,896,1000.00,*B4
99,88.83,47.40,#,#,#,#,80.72,0.09,22.05,49.00,1.69,0.91,10.08,-0.06,0.03,-0.02,22.98,896,1000.00,*D5
100,89.73,47.40,#,#,#,#,80.71,0.09,22.04,48.96,1.66,0.88,10.02,-0.07,0.03,-0.02,22.93,896,1000.00,*BE
101,90.63,47.40,#,#,#,#,80.46,0.09,22.04,48.94,1.65,0.92,10.04,-0.07,0.03,-0.01,22.93,896,1000.00,*C6
102,91.52,47.40,#,#,#,#,80.60,0.09,22.04,48.89,1.66,0.90,10.00,-0.06,0.03,-0.02,22.93,896,1000.00,*2E
103,92.42,47.40,#,#,#,#,80.32,0.09,22.04,48.85,1.65,0.92,10.13,-0.07,0.03,-0.02,23.07,896,1000.00,*EC
104,93.31,47.40,#,#,#,#,80.32,0.09,22.04,48.78,1.69,0.87,10.19,-0.06,0.03,-0.02,23.02,896,1000.00,*EE
105,94.21,47.40,#,#,#,#,80.42,0.09,22.04,48.77,1.66,0.88,10.06,-0.07,0.03,-0.01,23.07,896,1000.00,*8A
106,95.11,47.40,#,#,#,#,80.40,0.09,22.05,48.73,1.71,0.86,10.16,-0.06,0.03,-0.01,22.93,896,1000.00,*49
107,96.00,47.40,#,#,#,#,80.44,0.09,22.04,48.71,1.69,0.90,10.11,-0.07,0.03,-0.01,22.98,896,1000.00,*C2
108,96.90,47.40,#,#,#,#,80.48,0.09,22.04,48.69,1.67,0.88,9.97,-0.06,0.03,-0.01,22.98,896,1000.00,*71
109,97.79,47.40,#,#,#,#,80.66,0.09,22.04,48.66,1.65,0.91,10.13,-0.06,0.03,-0.01,22.98,896,1000.00,*E4
110,98.69,47.40,#,#,#,#,80.67,0.09,22.03,48.64,1.60,0.89,10.10,-0.07,0.03,-0.02,23.02,896,1000.00,*40
111,99.59,47.40,#,#,#,#,80.98,0.09,22.03,48.58,1.67,0.85,10.11,-0.06,0.03,-0.02,22.93,896,1000.00,*8F
112,100.48,48.10,#,#,#,#,80.86,0.09,22.04,48.56,1.59,0.87,10.03,-0.06,0.03,-0.02,22.98,896,1000.00,*7D
113,101.38,48.10,#,#,#,#,80.71,0.09,22.05,48.56,1.67,0.90,10.07,-0.07,0.03,-0.02,22.98,896,1000.00,*F0
114,102.27,47.40,#,#,#,#,80.64,0.09,22.05,48.57,1.64,0.87,10.08,-0.07,0.03,-0.02,22.93,896,1000.00,*DB
115,103.17,47.40,#,#,#,#,80.90,0.09,22.04,48.54,1.68,0.89,10.02,-0.07,0.03,-0.01,23.02,896,1000.00,*25
116,104.07,48.10,#,#,#,#,80.85,0.09,22.05,48.51,1.63,0.89,10.09,-0.07,0.03,-0.02,23.02,896,1000.00,*FB
117,104.96,48.10,#,#,#,#,80.73,0.09,22.05,48.53,1.69,0.90,10.02,-0.06,0.03,-0.01,22.93,896,1000.00,*DA
118,105.86,48.10,#,#,#,#,80.60,0.09,22.05,48.50,1.68,0.89,10.13,-0.06,0.03,-0.02,22.98,896,1000.00,*99
119,106.75,47.40,#,#,#,#,80.77,0.09,22.05,48.49,1.66,0.85,10.11,-0.07,0.03,-0.02,22.98,896,1000.00,*88
120,107.65,48.10,#,#,#,#,80.54,0.09,22.06,48.47,1.66,0.86,10.11,-0.06,0.03,-0.02,23.02,896,1000.00,*33
121,108.55,48.10,#,#,#,#,80.91,0.09,22.05,48.44,1.67,0.89,10.14,-0.06,0.03,-0.01,22.98,896,1000.00,*32
122,109.44,48.10,#,#,#,#,80.63,0.09,22.05,48.38,1.64,0.84,10.10,-0.07,0.03,-0.02,22.88,896,1000.00,*E1
123,110.34,48.10,#,#,#,#,80.92,0.09,22.05,48.36,1.63,0.89,10.17,-0.06,0.03,-0.01,22.98,896,1000.00,*EF
124,111.23,48.10,#,#,#,#,80.75,0.09,22.05,48.32,1.69,0.88,10.09,-0.07,0.03,-0.01,23.02,896,1000.00,*48
125,112.13,48.10,#,#,#,#,80.89,0.09,22.05,48.24,1.67,0.83,10.04,-0.06,0.03,-0.02,22.88,896,1000.00,*B2
126,113.03,48.10,#,#,#,#,80.83,0.09,22.05,48.21,1.63,0.88,10.13,-0.07,0.03,-0.01,22.98,896,1000.00,*3C
127,113.92,48.10,#,#,#,#,80.63,0.09,22.05,48.21,1.64,0.86,10.07,-0.06,0.03,-0.02,22.98,896,1000.00,*E6
128,114.82,48.10,#,#,#,#,80.98,0.09,22.04,48.18,1.62,0.89,10.14,-0.06,0.03,-0.01,23.02,896,1000.00,*59
129,115.71,48.10,#,#,#,#,81.06,0.09,22.06,48.16,1.66,0.91,10.09,-0.07,0.03,-0.01,23.02,896,1000.00,*8C
130,116.61,48.10,#,#,#,#,81.00,0.09,22.06,48.16,1.69,0.86,10.07,-0.06,0.03,-0.02,22.98,896,1000.00,*FE
131,117.51,48.10,#,#,#,#,81.04,0.09,22.05,48.15,1.71,0.86,10.10,-0.07,0.03,-0.02,22.98,896,1000.00,*C9
132,118.40,48.10,#,#,#,#,80.83,0.09,22.05,48.14,1.65,0.92,10.06,-0.06,0.03,-0.01,22.93,896,1000.00,*1A
133,119.30,48.10,#,#,#,#,80.73,0.09,22.05,48.12,1.60,0.88,10.05,-0.06,0.03,-0.01,22.93,896,1000.00,*B8
