34,21.34,48.10,#,#,#,#,#,#,#,186.26,0.32,24.76,31.58,1.08,0.23,10.21,-0.06,0.03,-0.01,24.72,0,1000.00,*FB
35,21.93,48.10,#,#,#,#,#,#,#,186.41,0.32,24.76,31.45,1.15,0.25,10.11,-0.06,0.03,-0.02,24.72,0,1000.00,*F6
36,22.51,48.10,#,#,#,#,#,#,#,186.26,0.32,24.76,31.30,1.11,0.16,10.31,-0.07,0.02,-0.01,24.72,0,1000.00,*AE
37,23.10,48.10,#,#,#,#,#,#,#,186.05,0.32,24.76,31.15,1.12,0.17,10.17,-0.07,0.03,-0.01,24.67,0,1000.00,*2E
38,23.68,47.40,#,#,#,#,#,#,#,186.31,0.32,24.76,31.07,1.19,0.18,10.11,-0.06,0.03,-0.02,24.72,0,1000.00,*9C
39,24.26,48.10,#,#,#,#,#,#,#,185.98,0.32,24.77,31.01,1.12,0.17,10.15,-0.07,0.03,-0.02,24.67,0,1000.00,*62
40,24.85,48.10,#,#,#,#,#,#,#,186.04,0.32,24.78,30.98,1.15,0.15,10.06,-0.07,0.04,-0.02,24.72,0,1000.00,*2E
41,25.43,48.10,#,#,#,#,#,#,#,185.94,0.32,24.77,30.95,1.09,0.22,10.36,-0.07,-0.00,-0.02,24.72,0,1000.00,*2F
42,26.02,48.10,#,#,#,#,#,#,#,186.15,0.32,24.77,30.89,1.13,0.21,10.15,-0.07,0.03,-0.01,24.67,0,1000.00,*73
43,26.60,48.10,#,#,#,#,#,#,#,186.38,0.32,24.78,30.84,1.09,0.21,10.15,-0.08,0.01,-0.02,24.67,0,1000.00,*D6
44,27.18,48.10,#,#,#,#,#,#,#,186.14,0.32,24.78,30.82,1.13,0.18,10.49,-0.07,0.02,-0.01,24.72,0,1000.00,*40
45,27.77,48.10,#,#,#,#,#,#,#,186.16,0.32,24.79,30.81,1.05,0.20,10.36,-0.07,0.02,-0.01,24.77,0,1000.00,*F1
46,28.35,48.10,#,#,#,#,#,#,#,186.18,0.32,24.79,30.80,1.06,0.11,10.01,-0.07,0.03,-0.02,24.77,0,1000.00,*1C
47,28.93,48.10,#,#,#,#,#,#,#,186.21,0.32,24.79,30.76,1.20,0.17,10.13,-0.06,0.03,-0.02,24.72,0,1000.00,*B8
48,29.52,48.10,#,#,#,#,#,#,#,186.16,0.32,24.79,30.74,1.15,0.17,10.09,-0.07,0.03,-0.01,24.67,0,1000.00,*BF
49,30.10,48.10,#,#,#,#,#,#,#,186.23,0.32,24.79,30.70,1.15,0.20,10.48,-0.06,0.01,-0.02,24.72,0,1000.00,*77
50,30.69,48.10,#,#,#,#,#,#,#,186.27,0.32,24.79,30.72,0.86,0.27,9.87,-0.06,0.05,-0.01,24.72,0,1000.00,*91
51,31.27,48.10,#,#,#,#,#,#,#,186.27,0.32,24.79,30.75,0.96,0.18,10.19,-0.07,0.02,-0.01,24.77,0,1000.00,*83
52,31.85,48.80,#,#,#,#,#,#,#,186.12,0.32,24.78,30.74,1.07,0.18,10.18,-0.07,0.03,-0.01,24.67,0,1000.00,*11
53,32.43,48.10,#,#,#,#,#,#,#,186.12,0.32,24.77,30.73,1.11,0.15,10.21,-0.07,0.02,-0.02,24.77,0,1000.00,*9F
54,33.02,48.10,#,#,#,#,#,#,#,186.18,0.32,24.77,30.73,1.19,0.20,10.26,-0.06,0.02,-0.02,24.72,0,1000.00,*64
55,33.60,48.80,#,#,#,#,#,#,#,186.24,0.32,24.76,30.74,1.13,0.13,10.09,-0.07,0.03,-0.01,24.72,0,1000.00,*34
56,34.19,48.80,#,#,#,#,#,#,#,186.40,0.32,24.77,30.75,1.13,0.12,10.12,-0.07,0.02,-0.02,24.72,0,1000.00,*79
57,34.77,48.80,#,#,#,#,#,#,#,186.17,0.32,24.78,31.05,1.20,0.20,10.36,-0.07,0.03,-0.02,24.77,0,1000.00,*A5
58,35.35,48.80,#,#,#,#,#,#,#,186.04,0.32,24.75,32.87,1.06,0.03,10.34,-0.04,0.03,-0.02,24.77,0,1000.00,*98
59,35.94,48.10,#,#,#,#,#,#,#,186.17,0.31,24.74,34.21,1.13,-0.00,10.09,-0.03,0.02,-0.05,24.67,0,1000.00,*A1
60,36.53,48.10,#,#,#,#,#,#,#,186.23,0.32,24.75,35.55,1.10,0.20,10.12,-0.08,0.03,-0.01,24.67,0,1000.00,*31
61,37.11,48.10,#,#,#,#,#,#,#,185.94,0.32,24.76,36.22,1.17,0.11,10.06,-0.07,0.03,-0.01,24.77,0,1000.00,*22
62,37.69,48.10,#,#,#,#,#,#,#,186.02,0.32,24.75,36.20,1.13,0.14,10.24,-0.07,0.02,-0.01,24.72,0,1000.00,*74
63,38.27,48.10,#,#,#,#,#,#,#,186.19,0.32,24.74,35.98,1.19,0.13,10.10,-0.07,0.03,-0.01,24.81,0,1000.00,*31
64,38.86,48.10,#,#,#,#,#,#,#,186.06,0.32,24.74,34.94,1.09,0.06,9.93,-0.08,0.02,-0.01,24.77,0,1000.00,*56
65,39.44,48.10,#,#,#,#,#,#,#,186.13,0.32,24.74,34.39,0.94,0.29,8.72,-0.06,0.11,-0.02,24.72,0,1000.00,*D4
66,40.03,48.80,#,#,#,#,#,#,#,186.23,0.32,24.74,33.85,1.14,0.08,9.96,-0.07,0.02,-0.01,24.77,0,1000.00,*D5
67,40.61,48.80,#,#,#,#,#,#,#,186.02,0.32,24.74,33.33,1.05,0.13,10.13,-0.07,0.03,-0.01,24.77,0,1000.00,*1D
68,41.19,48.10,#,#,#,#,#,#,#,186.27,0.32,24.75,32.85,1.15,0.17,10.08,-0.06,0.03,-0.01,24.67,0,1000.00,*63
69,41.78,48.10,#,#,#,#,#,#,#,186.18,0.32,24.74,32.41,1.05,0.03,10.13,-0.08,0.03,-0.02,24.77,0,1000.00,*FF
70,42.36,48.80,#,#,#,#,#,#,#,186.35,0.32,24.74,32.12,1.16,0.13,10.36,-0.07,0.03,-0.01,24.72,0,1000.00,*63
71,42.94,48.80,#,#,#,#,#,#,#,186.42,0.32,24.74,31.91,1.11,0.10,10.13,-0.07,0.03,-0.01,24.72,0,1000.00,*47
72,43.53,48.80,#,#,#,#,#,#,#,186.40,0.32,24.74,31.84,0.86,0.11,10.01,-0.07,0.04,-0.01,24.72,0,1000.00,*49
73,44.11,48.80,#,#,#,#,#,#,#,186.32,0.32,24.74,31.83,1.17,0.21,10.13,-0.06,0.03,-0.01,24.72,0,1000.00,*46
74,44.70,48.10,#,#,#,#,#,#,#,186.43,0.32,24.74,31.75,1.01,0.15,10.08,-0.07,0.03,-0.01,24.67,0,1000.00,*A5
75,45.28,49.50,#,#,#,#,#,#,#,186.47,0.32,24.73,31.67,1.01,0.14,10.14,-0.07,0.03,-0.01,24.67,0,1000.00,*E6
76,45.86,48.80,#,#,#,#,#,#,#,186.55,0.32,24.74,31.55,1.05,0.18,10.17,-0.07,0.03,-0.01,24.77,0,1000.00,*DA
77,46.45,48.80,#,#,#,#,#,#,#,186.25,0.32,24.75,31.46,0.97,0.16,10.09,-0.07,0.03,-0.01,24.81,0,1000.00,*F8
78,47.03,48.80,#,#,#,#,#,#,#,186.37,0.32,24.76,31.38,1.10,0.12,10.12,-0.07,0.03,-0.01,24.67,0,1000.00,*A2
79,47.61,48.80,#,#,#,#,#,#,#,186.12,0.32,24.75,31.29,1.08,0.13,10.19,-0.06,0.03,-0.01,24.77,0,1000.00,*A8
80,48.20,48.80,#,#,#,#,#,#,#,186.33,0.32,24.75,31.22,1.15,0.23,10.10,-0.07,0.02,-0.01,24.77,0,1000.00,*DA
0,0.39,36.90,#,#,#,#,#,#,#,#,#,#,1.11,0.12,10.27,-0.06,0.02,-0.01,23.31,0,1000.00,*FA
1,0.74,36.90,#,#,#,#,#,#,#,186.35,0.40,23.96,31.80,1.11,0.15,10.10,-0.07,0.03,-0.02,23.35,0,1000.00,*5F
2,1.33,37.60,#,#,#,#,#,#,#,186.37,0.32,23.99,31.78,1.10,0.15,10.22,-0.07,0.02,-0.02,23.35,0,1000.00,*D1
3,2.03,37.60,#,#,#,#,#,#,#,186.21,0.26,24.01,31.76,1.06,0.14,10.07,-0.07,0.04,-0.01,23.59,0,1000.00,*6F
4,2.61,38.30,#,#,#,#,#,#,#,186.30,0.32,24.00,31.76,1.22,0.09,10.12,-0.07,0.03,-0.01,23.59,0,1000.00,*6F
5,3.19,39.00,#,#,#,#,#,#,#,186.37,0.32,24.01,31.74,1.13,0.23,10.05,-0.06,0.03,-0.01,23.64,0,1000.00,*71
6,3.78,39.00,#,#,#,#,#,#,#,186.43,0.32,24.01,31.72,1.12,0.13,10.30,-0.06,0.03,-0.02,23.54,0,1000.00,*CD
7,4.36,39.00,#,#,#,#,#,#,#,186.19,0.32,24.01,31.70,1.11,0.10,10.15,-0.07,0.03,-0.02,23.59,0,1000.00,*B3
