0,0.33,31.30,#,#,#,#,#,#,#,#,#,#,-9.79,-5.15,-2.84,0.26,0.23,-0.45,22.41,0,1000.00,*D7
508,296.83,50.20,#,#,#,#,#,#,#,185.73,0.32,24.08,37.09,1.20,-0.90,10.12,-0.06,0.02,-0.01,24.95,0,1000.00,*DC
509,297.42,49.50,#,#,#,#,#,#,#,185.55,0.32,24.08,37.10,1.36,-0.90,10.03,-0.07,0.02,-0.02,24.81,0,1000.00,*40
510,298.00,50.20,#,#,#,#,#,#,#,185.56,0.32,24.09,37.08,1.33,-0.89,10.15,-0.06,0.03,-0.02,24.77,0,1000.00,*99
511,298.59,50.20,#,#,#,#,#,#,#,185.51,0.32,24.09,37.08,1.27,-0.91,10.07,-0.07,0.03,-0.01,24.81,0,1000.00,*61
512,299.17,49.50,#,#,#,#,#,#,#,185.59,0.32,24.09,37.08,1.10,-0.71,10.20,-0.07,0.01,-0.00,24.77,0,1000.00,*73
513,299.75,50.20,#,#,#,#,#,#,#,185.79,0.32,24.09,37.07,1.28,-0.82,10.26,-0.04,0.06,-0.02,24.77,0,1000.00,*53
514,300.34,49.50,#,#,#,#,#,#,#,185.76,0.32,24.09,37.07,1.18,-0.98,10.17,-0.09,-0.01,-0.01,24.77,0,1000.00,*19
515,300.93,50.20,#,#,#,#,#,#,#,185.63,0.32,24.10,37.05,1.21,-0.94,10.10,-0.06,0.03,-0.00,24.77,0,1000.00,*B7
516,301.51,50.20,#,#,#,#,#,#,#,185.94,0.32,24.11,37.06,0.67,-2.20,7.85,-0.41,-0.51,-0.28,24.77,0,1000.00,*BE
517,302.09,50.20,#,#,#,#,#,#,#,185.85,0.32,24.11,37.04,1.09,-0.90,10.03,-0.07,0.02,-0.01,24.86,0,1000.00,*F7
518,302.67,49.50,#,#,#,#,#,#,#,185.97,0.32,24.11,37.03,0.56,-0.44,9.29,-0.00,0.00,0.25,24.86,0,1000.00,*9D
519,303.26,49.50,#,#,#,#,#,#,#,185.83,0.32,24.12,37.04,1.40,-1.08,10.16,-0.06,0.03,-0.02,24.86,0,1000.00,*2A
520,303.84,50.20,#,#,#,#,#,#,#,185.81,0.32,24.12,37.03,1.45,-1.38,10.13,-0.16,-0.07,-0.02,24.91,0,1000.00,*ED
521,304.43,49.50,#,#,#,#,#,#,#,185.87,0.32,24.12,37.03,2.49,-1.02,10.47,-0.44,-0.38,0.54,24.86,0,1000.00,*FB
522,305.01,50.20,#,#,#,#,#,#,#,185.63,0.32,24.12,37.02,0.03,1.02,9.31,1.41,0.96,0.86,24.91,0,1000.00,*54
523,305.60,49.50,#,#,#,#,#,#,#,185.77,0.31,24.13,37.03,-0.37,-1.12,9.12,-0.51,-0.12,0.05,24.81,0,1000.00,*98
524,306.18,50.20,#,#,#,#,#,#,#,185.83,0.32,24.13,37.03,1.03,-2.05,9.72,-0.47,-0.75,0.96,24.91,0,1000.00,*15
525,306.77,50.20,#,#,#,#,#,#,#,185.88,0.32,24.14,37.04,2.74,-1.35,9.77,0.13,-0.01,-0.30,24.81,0,1000.00,*FF
526,307.35,50.20,#,#,#,#,#,#,#,185.99,0.32,24.13,37.03,2.94,-1.12,9.40,0.18,0.12,-0.20,24.81,0,1000.00,*C0
527,307.93,49.50,#,#,#,#,#,#,#,185.84,0.32,24.14,37.02,1.72,-0.80,7.89,-0.60,0.11,-0.25,24.86,0,1000.00,*EA
528,308.52,50.20,#,#,#,#,#,#,#,185.71,0.32,24.14,37.01,1.52,-1.30,9.20,-0.05,0.08,-0.01,24.81,0,1000.00,*67
529,309.10,50.20,#,#,#,#,#,#,#,185.95,0.32,24.15,37.01,1.39,-1.06,10.11,-0.06,0.03,-0.01,24.86,0,1000.00,*26
530,309.69,50.20,#,#,#,#,#,#,#,185.57,0.32,24.15,37.01,1.26,-1.08,10.05,-0.05,0.05,-0.01,24.86,0,1000.00,*32
531,310.27,50.20,#,#,#,#,#,#,#,185.76,0.32,24.15,37.00,1.75,-1.02,9.73,-0.09,0.05,-0.00,24.86,0,1000.00,*73
532,310.85,50.20,#,#,#,#,#,#,#,185.74,0.32,24.15,37.00,1.27,-0.93,10.14,-0.06,0.03,-0.02,24.86,0,1000.00,*E3
533,311.44,50.20,#,#,#,#,#,#,#,185.72,0.31,24.16,37.00,1.82,-0.95,9.72,-0.03,0.11,-0.00,24.86,0,1000.00,*B2
534,312.02,50.20,#,#,#,#,#,#,#,185.56,0.32,24.16,37.00,1.58,-1.40,9.99,0.32,-0.24,1.54,24.91,0,1000.00,*2B
535,312.61,50.20,#,#,#,#,#,#,#,185.84,0.32,24.16,37.00,1.22,-1.03,10.37,-0.15,-0.02,-0.01,24.95,0,1000.00,*AB
536,313.19,50.20,#,#,#,#,#,#,#,185.69,0.32,24.17,36.99,0.79,-1.28,11.11,0.02,0.17,-0.64,24.77,0,1000.00,*80
537,313.78,50.20,#,#,#,#,#,#,#,185.51,0.32,24.16,36.99,1.93,-1.33,12.00,-0.01,0.49,-0.07,24.86,0,1000.00,*87
538,314.37,50.20,#,#,#,#,#,#,#,185.77,0.32,24.17,36.98,1.51,-1.20,9.88,-0.00,0.09,-0.02,24.86,0,1000.00,*98
539,314.95,50.20,#,#,#,#,#,#,#,185.74,0.32,24.17,36.97,1.50,-1.17,9.97,-0.10,-0.02,-0.08,24.91,0,1000.00,*90
540,315.53,50.20,#,#,#,#,#,#,#,185.89,0.32,24.18,36.97,1.25,-0.89,10.11,-0.08,0.00,-0.02,24.91,0,1000.00,*D2
541,316.11,50.20,#,#,#,#,#,#,#,185.72,0.32,24.18,36.97,1.33,-0.83,10.11,-0.05,0.04,-0.01,24.86,0,1000.00,*38
542,316.69,50.20,#,#,#,#,#,#,#,185.76,0.32,24.18,36.96,1.26,-1.13,10.25,-0.09,-0.03,-0.00,24.95,0,1000.00,*A5
543,317.28,50.90,#,#,#,#,#,#,#,185.82,0.32,24.19,36.96,1.77,-0.73,9.81,-0.09,0.05,-0.17,24.95,0,1000.00,*31
544,317.86,50.20,#,#,#,#,#,#,#,185.98,0.32,24.19,36.94,3.73,-1.85,9.88,-0.12,-1.32,-0.50,24.86,0,1000.00,*DC
545,318.44,50.20,#,#,#,#,#,#,#,186.02,0.32,24.19,36.92,6.64,-0.11,8.60,0.37,0.04,0.76,24.91,0,1000.00,*2F
546,319.03,50.20,#,#,#,#,#,#,#,185.71,0.32,24.19,36.92,5.61,0.73,6.73,0.94,0.32,0.90,24.86,0,1000.00,*D4
547,319.61,50.20,#,#,#,#,#,#,#,186.04,0.32,24.20,36.92,6.06,0.80,8.00,-0.65,-0.22,-0.54,24.91,0,1000.00,*A5
548,320.20,50.20,#,#,#,#,#,#,#,186.00,0.32,24.20,36.95,5.80,0.47,9.43,-0.36,0.52,0.84,24.95,0,1000.00,*22
549,320.78,50.20,#,#,#,#,#,#,#,185.90,0.32,24.21,36.99,5.71,0.06,8.15,0.36,0.23,-0.21,24.91,0,1000.00,*BE
550,321.36,50.20,#,#,#,#,#,#,#,186.04,0.32,24.21,37.03,5.43,4.04,8.49,1.70,0.25,-0.01,24.95,0,1000.00,*63
551,321.94,50.20,#,#,#,#,#,#,#,186.03,0.32,24.21,37.06,4.81,8.39,1.09,1.88,-0.11,0.22,24.91,0,1000.00,*FF
552,322.53,50.20,#,#,#,#,#,#,#,185.96,0.32,24.22,37.06,3.65,7.06,-6.64,0.78,-0.36,-0.10,25.00,0,1000.00,*76
553,323.12,50.90,#,#,#,#,#,#,#,186.16,0.32,24.21,37.06,2.37,4.12,-8.33,0.89,-0.32,-0.30,24.95,0,1000.00,*FB
554,323.70,50.20,#,#,#,#,#,#,#,186.47,0.32,24.22,37.05,1.03,2.18,-9.63,-0.14,0.01,0.04,24.91,0,1000.00,*4D
555,324.28,50.20,#,#,#,#,#,#,#,186.35,0.32,24.22,37.03,0.86,2.56,-9.71,-0.13,-0.04,0.09,25.05,0,1000.00,*F6
556,324.87,50.20,#,#,#,#,#,#,#,186.01,0.32,24.22,37.01,1.11,2.69,-9.34,-0.06,-0.14,-0.15,24.91,0,1000.00,*5C
557,325.45,50.90,#,#,#,#,#,#,#,186.36,0.32,24.23,36.99,0.61,2.29,-9.47,0.03,0.02,0.01,24.95,0,1000.00,*21
558,326.04,50.20,#,#,#,#,#,#,#,186.16,0.32,24.23,36.95,-0.68,2.85,-9.61,0.43,0.05,-0.36,25.05,0,1000.00,*E5
559,326.62,50.20,#,#,#,#,#,#,#,186.00,0.32,24.23,36.93,0.25,2.55,-9.58,-0.91,0.29,-0.03,25.05,0,1000.00,*6A
560,327.20,50.90,#,#,#,#,#,#,#,186.21,0.32,24.24,36.91,1.53,3.94,-9.10,-0.45,-0.16,0.09,24.86,0,1000.00,*15
561,327.79,50.20,#,#,#,#,#,#,#,185.88,0.32,24.24,36.88,3.07,6.55,-7.43,-0.01,0.38,0.76,25.00,0,1000.00,*F3
562,328.38,50.90,#,#,#,#,#,#,#,185.98,0.32,24.24,36.88,3.51,5.11,-7.65,0.84,0.03,0.51,24.91,0,1000.00,*86
563,328.96,50.20,#,#,#,#,#,#,#,186.27,0.32,24.24,36.86,4.37,1.90,-8.27,0.52,0.30,-0.02,25.00,0,1000.00,*BB
564,329.54,50.20,#,#,#,#,#,#,#,186.18,0.32,24.25,36.84,5.58,-0.75,-8.93,0.80,0.33,0.63,25.00,0,1000.00,*72
565,330.13,50.20,#,#,#,#,#,#,#,185.99,0.32,24.25,36.81,7.41,-3.91,-4.34,0.81,1.26,-0.23,25.00,0,1000.00,*92
566,330.81,49.50,#,#,#,#,#,#,#,185.98,0.27,24.25,36.81,8.89,-2.43,-1.39,-0.08,1.83,-0.73,25.00,0,1000.00,*4A
567,331.39,50.20,#,#,#,#,#,#,#,186.02,0.32,24.25,36.83,9.35,-2.02,2.28,-0.16,-0.50,-0.07,25.00,0,1000.00,*6C
568,331.97,50.20,#,#,#,#,#,#,#,186.05,0.32,24.26,36.88,10.55,-0.40,0.07,-0.04,-0.14,0.05,24.91,0,1000.00,*8B
569,332.56,50.20,#,#,#,#,#,#,#,186.07,0.32,24.26,37.07,8.89,-0.06,-3.99,-0.33,-1.14,0.13,24.95,0,1000.00,*32
570,333.14,50.90,#,#,#,#,#,#,#,186.11,0.32,24.27,37.30,8.69,-0.87,-9.64,-0.14,-0.15,-0.17,25.05,0,1000.00,*45
571,333.73,50.20,#,#,#,#,#,#,#,186.39,0.32,24.28,37.47,8.96,-3.42,1.16,1.11,2.59,0.29,25.05,0,1000.00,*84
572,334.31,50.20,#,#,#,#,#,#,#,185.84,0.32,24.28,37.58,7.77,-2.76,5.61,0.12,-0.17,-0.04,25.09,0,1000.00,*88
573,334.89,50.20,#,#,#,#,#,#,#,186.01,0.32,24.28,37.60,7.51,-0.73,6.70,-0.77,-0.18,-0.48,25.05,0,1000.00,*71
574,335.48,50.90,#,#,#,#,#,#,#,186.21,0.32,24.28,37.60,6.90,-0.45,9.25,0.14,-1.18,0.06,25.05,0,1000.00,*96
575,336.06,50.20,#,#,#,#,#,#,#,186.08,0.32,24.29,37.62,9.88,-0.02,4.81,-0.22,-0.59,-0.10,25.09,0,1000.00,*4F
576,336.64,50.20,#,#,#,#,#,#,#,186.01,0.32,24.30,37.63,9.79,-0.42,0.30,0.77,-0.71,0.61,25.00,0,1000.00,*35
577,337.23,50.20,#,#,#,#,#,#,#,185.82,0.32,24.31,37.68,9.79,0.19,-3.57,-0.05,-0.07,0.07,25.05,0,1000.00,*62
578,337.81,50.20,#,#,#,#,#,#,#,185.80,0.32,24.31,37.71,9.46,0.45,-3.35,-0.06,0.02,-0.00,25.14,0,1000.00,*54
579,338.39,50.20,#,#,#,#,#,#,#,186.07,0.32,24.32,37.72,9.67,0.36,-3.23,-0.07,0.02,-0.03,25.14,0,1000.00,*14
580,338.98,50.20,#,#,#,#,#,#,#,186.08,0.32,24.32,37.72,9.58,0.68,-3.28,-0.06,0.02,0.02,25.09,0,1000.00,*15
581,339.56,50.90,#,#,#,#,#,#,#,185.76,0.32,24.33,37.71,9.57,0.47,-3.12,-0.06,0.03,-0.00,25.14,0,1000.00,*D6
582,340.14,50.20,#,#,#,#,#,#,#,185.88,0.32,24.33,37.71,9.48,0.38,-2.91,-0.06,0.04,-0.01,25.09,0,1000.00,*53
583,340.73,50.20,#,#,#,#,#,#,#,186.11,0.32,24.33,37.70,9.62,0.30,-3.14,-0.07,0.02,-0.02,25.09,0,1000.00,*27
584,341.31,50.20,#,#,#,#,#,#,#,185.94,0.32,24.34,37.68,9.60,0.35,-3.17,-0.07,0.02,-0.02,25.14,0,1000.00,*70
585,341.90,50.20,#,#,#,#,#,#,#,186.15,0.32,24.34,37.68,9.59,0.37,-3.20,-0.07,0.03,-0.02,25.09,0,1000.00,*67
586,342.48,50.20,#,#,#,#,#,#,#,185.97,0.32,24.35,37.67,9.61,0.46,-3.22,-0.07,0.03,-0.02,25.14,0,1000.00,*4E
587,343.06,50.20,#,#,#,#,#,#,#,186.18,0.32,24.35,37.67,9.60,0.33,-3.29,-0.07,0.03,-0.02,25.19,0,1000.00,*8F
588,343.64,50.90,#,#,#,#,#,#,#,185.98,0.32,24.36,37.66,9.74,0.46,-2.66,-0.06,-0.01,-0.00,25.09,0,1000.00,*FC
589,344.23,50.90,#,#,#,#,#,#,#,186.06,0.32,24.36,37.65,9.55,0.53,-3.06,-0.07,0.04,-0.02,25.14,0,1000.00,*14
590,344.81,50.20,#,#,#,#,#,#,#,185.86,0.32,24.36,37.65,9.63,0.38,-3.27,-0.07,0.03,-0.02,25.14,0,1000.00,*B5
591,345.40,50.20,#,#,#,#,#,#,#,186.25,0.32,24.36,37.65,9.62,0.44,-3.17,-0.07,0.04,-0.02,25.14,0,1000.00,*80
592,345.98,50.90,#,#,#,#,#,#,#,186.09,0.32,24.37,37.65,9.57,0.40,-3.25,-0.07,0.03,-0.02,25.24,0,1000.00,*36
593,346.56,50.90,#,#,#,#,#,#,#,185.92,0.32,24.37,37.65,9.61,0.40,-3.22,-0.06,0.02,-0.00,25.19,0,1000.00,*59
594,347.15,50.20,#,#,#,#,#,#,#,185.92,0.32,24.38,37.65,9.54,0.35,-3.14,-0.07,0.03,-0.02,25.19,0,1000.00,*60
595,347.73,50.20,#,#,#,#,#,#,#,186.00,0.32,24.39,37.64,9.55,0.35,-3.14,-0.07,0.02,-0.00,25.14,0,1000.00,*F4
596,348.31,50.20,#,#,#,#,#,#,#,185.91,0.32,24.39,37.65,9.64,0.42,-3.12,-0.07,0.02,-0.01,25.19,0,1000.00,*51
597,348.89,50.90,#,#,#,#,#,#,#,185.99,0.32,24.39,37.64,9.59,0.41,-3.09,-0.06,0.03,-0.01,25.19,0,1000.00,*35
598,349.48,50.90,#,#,#,#,#,#,#,186.10,0.32,24.39,37.64,9.57,0.41,-3.19,-0.06,0.02,-0.00,25.19,0,1000.00,*85
599,350.07,50.20,#,#,#,#,#,#,#,185.72,0.31,24.40,37.64,9.67,0.37,-3.16,-0.06,0.03,-0.01,25.24,0,1000.00,*7C
600,350.65,50.90,#,#,#,#,#,#,#,186.11,0.32,24.40,37.64,9.56,0.43,-3.23,-0.07,0.03,-0.02,25.33,0,1000.00,*B6
601,351.23,50.90,#,#,#,#,#,#,#,186.09,0.32,24.41,37.63,9.60,0.40,-3.17,-0.07,0.03,-0.02,25.33,0,1000.00,*84
602,351.82,50.20,#,#,#,#,#,#,#,185.95,0.32,24.41,37.63,9.64,0.36,-3.19,-0.07,0.02,-0.01,25.28,0,1000.00,*49
603,352.41,50.20,#,#,#,#,#,#,#,185.96,0.32,24.42,37.62,9.75,0.52,-3.31,-0.06,0.03,-0.00,25.24,0,1000.00,*61
604,352.99,50.90,#,#,#,#,#,#,#,186.02,0.32,24.42,37.62,9.65,0.39,-3.17,-0.07,0.03,-0.01,25.24,0,1000.00,*D5
605,353.57,50.90,#,#,#,#,#,#,#,186.04,0.32,24.42,37.62,9.79,0.38,-3.15,-0.06,0.04,-0.00,25.28,0,1000.00,*12
606,354.16,50.90,#,#,#,#,#,#,#,186.02,0.32,24.42,37.61,9.55,0.50,-3.42,-0.08,0.03,-0.05,25.28,0,1000.00,*D6
607,354.74,50.90,#,#,#,#,#,#,#,185.96,0.32,24.43,37.61,9.53,0.37,-2.94,-0.06,0.03,-0.02,25.33,0,1000.00,*9A
608,355.32,50.90,#,#,#,#,#,#,#,185.94,0.32,24.43,37.61,9.95,0.25,-3.16,-0.07,0.04,-0.02,25.33,0,1000.00,*66
609,355.91,50.20,#,#,#,#,#,#,#,186.04,0.32,24.44,37.61,9.55,0.43,-3.18,-0.06,0.04,-0.00,25.33,0,1000.00,*61
610,356.49,50.90,#,#,#,#,#,#,#,186.00,0.32,24.44,37.60,9.65,0.29,-3.18,-0.07,0.02,-0.02,25.24,0,1000.00,*95
611,357.07,50.90,#,#,#,#,#,#,#,186.13,0.32,24.44,37.60,9.66,0.37,-3.24,-0.07,0.03,-0.01,25.33,0,1000.00,*77
612,357.66,50.20,#,#,#,#,#,#,#,185.97,0.32,24.45,37.60,9.62,0.37,-3.17,-0.07,0.02,-0.02,25.38,0,1000.00,*68
613,358.24,50.90,#,#,#,#,#,#,#,186.19,0.32,24.45,37.59,9.61,0.37,-3.25,-0.07,0.03,-0.01,25.38,0,1000.00,*91
614,358.83,50.90,#,#,#,#,#,#,#,186.05,0.32,24.45,37.59,9.62,0.35,-3.16,-0.07,0.03,-0.02,25.38,0,1000.00,*6F
615,359.41,50.90,#,#,#,#,#,#,#,185.81,0.32,24.46,37.59,9.63,0.38,-3.20,-0.07,0.03,-0.02,25.33,0,1000.00,*43
616,359.99,50.90,#,#,#,#,#,#,#,185.91,0.32,24.46,37.59,9.61,0.42,-3.29,-0.07,0.03,-0.01,25.38,0,1000.00,*DE
617,360.58,50.90,#,#,#,#,#,#,#,185.99,0.32,24.46,37.58,9.57,0.38,-3.18,-0.07,0.03,-0.01,25.42,0,1000.00,*3A
618,361.16,51.60,#,#,#,#,#,#,#,186.18,0.32,24.46,37.58,10.19,0.41,-3.45,-0.06,0.06,-0.02,25.38,0,1000.00,*C3
619,361.74,50.90,#,#,#,#,#,#,#,186.18,0.32,24.47,37.58,9.52,0.26,-3.24,-0.07,0.02,-0.02,25.42,0,1000.00,*14
620,362.33,50.90,#,#,#,#,#,#,#,185.96,0.32,24.47,37.57,9.59,0.27,-3.22,-0.06,0.03,-0.01,25.38,0,1000.00,*AF
621,362.91,50.90,#,#,#,#,#,#,#,186.06,0.32,24.48,37.57,9.66,0.29,-3.25,-0.07,0.03,-0.02,25.42,0,1000.00,*74
622,363.50,50.90,#,#,#,#,#,#,#,186.13,0.32,24.49,37.56,9.63,0.37,-3.17,-0.07,0.03,-0.01,25.42,0,1000.00,*D1
623,364.08,50.90,#,#,#,#,#,#,#,186.17,0.32,24.49,37.56,9.64,0.42,-3.18,-0.06,0.03,-0.02,25.38,0,1000.00,*2B
624,364.66,50.20,#,#,#,#,#,#,#,185.93,0.32,24.49,37.56,9.56,0.40,-3.24,-0.07,0.03,-0.01,25.47,0,1000.00,*B9
625,365.25,50.90,#,#,#,#,#,#,#,186.16,0.32,24.50,37.54,9.56,0.33,-3.07,-0.07,0.03,-0.02,25.42,0,1000.00,*ED
626,365.83,50.90,#,#,#,#,#,#,#,186.01,0.32,24.50,37.55,9.60,0.47,-3.37,-0.07,0.03,-0.02,25.28,0,1000.00,*3E
627,366.42,50.90,#,#,#,#,#,#,#,185.83,0.32,24.50,37.54,9.76,0.41,-3.21,-0.06,0.03,0.00,25.52,0,1000.00,*5A
628,367.00,50.90,#,#,#,#,#,#,#,186.02,0.32,24.51,37.54,9.67,0.40,-3.20,-0.06,0.02,-0.01,25.47,0,1000.00,*D8
629,367.58,50.90,#,#,#,#,#,#,#,185.95,0.32,24.51,37.54,9.56,0.39,-3.14,-0.07,0.02,-0.02,25.52,0,1000.00,*90
630,368.17,50.90,#,#,#,#,#,#,#,186.02,0.32,24.51,37.53,9.63,0.34,-3.20,-0.07,0.03,-0.01,25.42,0,1000.00,*FD
631,368.75,50.90,#,#,#,#,#,#,#,186.14,0.32,24.52,37.53,9.65,0.30,-3.30,-0.06,0.03,-0.00,25.42,0,1000.00,*85
632,369.33,50.90,#,#,#,#,#,#,#,185.92,0.32,24.52,37.53,9.58,0.40,-3.33,-0.07,0.03,-0.02,25.52,0,1000.00,*CC
633,369.92,51.60,#,#,#,#,#,#,#,185.95,0.32,24.52,37.53,9.62,0.32,-3.33,-0.06,0.03,-0.01,25.47,0,1000.00,*6C
634,370.50,50.90,#,#,#,#,#,#,#,185.92,0.32,24.53,37.52,9.59,0.29,-3.25,-0.07,0.03,-0.01,25.47,0,1000.00,*58
635,371.08,51.60,#,#,#,#,#,#,#,186.17,0.32,24.53,37.52,9.61,0.34,-3.11,-0.07,0.03,-0.01,25.52,0,1000.00,*1C
636,371.67,50.90,#,#,#,#,#,#,#,186.24,0.31,24.54,37.51,9.65,0.37,-3.22,-0.07,0.03,-0.02,25.47,0,1000.00,*CC
637,372.26,50.90,#,#,#,#,#,#,#,186.03,0.32,24.55,37.50,9.65,0.36,-3.20,-0.07,0.02,-0.01,25.52,0,1000.00,*59
638,372.84,50.90,#,#,#,#,#,#,#,186.28,0.32,24.55,37.50,9.61,0.35,-3.25,-0.07,0.03,-0.01,25.57,0,1000.00,*67
639,373.42,50.90,#,#,#,#,#,#,#,185.89,0.32,24.55,37.50,9.62,0.32,-3.28,-0.06,0.03,-0.01,25.57,0,1000.00,*95
640,374.01,50.90,#,#,#,#,#,#,#,186.36,0.32,24.56,37.48,9.61,0.36,-3.19,-0.07,0.03,-0.02,25.47,0,1000.00,*BF
641,374.59,50.90,#,#,#,#,#,#,#,186.14,0.32,24.56,37.48,9.54,0.32,-3.15,-0.06,0.03,-0.00,25.52,0,1000.00,*B5
642,375.17,50.90,#,#,#,#,#,#,#,185.84,0.32,24.56,37.47,9.60,0.45,-3.17,-0.06,0.00,-0.00,25.57,0,1000.00,*A3
643,375.76,50.90,#,#,#,#,#,#,#,186.16,0.32,24.56,37.47,9.58,0.34,-3.38,-0.06,0.03,-0.01,25.61,0,1000.00,*7F
644,376.34,50.90,#,#,#,#,#,#,#,186.10,0.32,24.57,37.47,9.62,0.22,-3.11,-0.07,0.04,-0.01,25.47,0,1000.00,*74
645,376.92,51.60,#,#,#,#,#,#,#,186.26,0.32,24.57,37.46,9.58,0.38,-3.26,-0.06,0.02,-0.00,25.52,0,1000.00,*B8
646,377.51,50.90,#,#,#,#,#,#,#,186.04,0.32,24.58,37.45,9.63,0.74,-3.09,-0.85,-0.00,0.20,25.57,0,1000.00,*86
647,378.09,50.90,#,#,#,#,#,#,#,186.30,0.32,24.58,37.45,9.61,0.89,-2.79,-0.08,0.02,-0.03,25.52,0,1000.00,*66
648,378.67,50.90,#,#,#,#,#,#,#,186.17,0.32,24.58,37.45,9.67,0.22,-3.15,-0.09,0.00,-0.09,25.61,0,1000.00,*B3
649,379.26,50.90,#,#,#,#,#,#,#,186.34,0.32,24.59,37.44,9.62,0.42,-3.31,-0.06,0.02,0.00,25.75,0,1000.00,*42
650,379.84,50.90,#,#,#,#,#,#,#,186.16,0.32,24.59,37.44,9.64,0.30,-3.12,-0.07,0.03,-0.00,25.66,0,1000.00,*58
651,380.43,50.90,#,#,#,#,#,#,#,186.22,0.32,24.60,37.43,9.53,0.32,-3.18,-0.07,0.03,-0.01,25.66,0,1000.00,*EE
652,381.01,50.90,#,#,#,#,#,#,#,185.99,0.32,24.60,37.42,9.62,0.38,-3.13,-0.07,0.03,-0.01,25.61,0,1000.00,*A0
653,381.59,50.90,#,#,#,#,#,#,#,186.32,0.32,24.61,37.42,9.60,0.25,-3.19,-0.07,0.02,-0.01,25.61,0,1000.00,*F6
654,382.18,50.90,#,#,#,#,#,#,#,186.18,0.32,24.60,37.41,9.47,0.24,-3.94,-0.06,0.02,-0.01,25.57,0,1000.00,*B8
655,382.76,51.60,#,#,#,#,#,#,#,186.35,0.32,24.61,37.41,10.58,1.19,-6.17,-0.09,-1.61,-0.72,25.66,0,1000.00,*FD
656,383.35,50.90,#,#,#,#,#,#,#,186.16,0.32,24.61,37.39,0.19,-0.07,-9.43,-0.25,-0.60,0.26,25.75,0,1000.00,*AA
657,383.93,50.90,#,#,#,#,#,#,#,186.20,0.32,24.62,37.35,-1.57,0.65,-9.91,-0.13,-0.29,0.00,25.71,0,1000.00,*FE
658,384.51,51.60,#,#,#,#,#,#,#,186.13,0.32,24.62,37.33,-2.27,1.19,-9.26,-0.12,-0.05,-0.05,25.61,0,1000.00,*35
659,385.09,50.90,#,#,#,#,#,#,#,186.45,0.32,24.62,37.29,-1.29,0.25,-9.84,-0.10,0.00,-0.23,25.61,0,1000.00,*CF
660,385.68,50.90,#,#,#,#,#,#,#,186.42,0.32,24.62,37.24,-2.76,1.38,-8.86,-0.09,-0.07,-0.09,25.61,0,1000.00,*55
661,386.26,50.90,#,#,#,#,#,#,#,186.52,0.32,24.62,37.18,-2.83,0.41,-9.01,-0.18,0.20,-0.15,25.66,0,1000.00,*1C
662,386.85,50.90,#,#,#,#,#,#,#,186.48,0.32,24.63,37.12,-3.00,-1.45,-9.21,0.06,0.11,-0.27,25.66,0,1000.00,*EE
663,387.43,51.60,#,#,#,#,#,#,#,186.45,0.32,24.63,37.06,-1.20,-1.99,-8.78,-0.05,0.59,0.24,25.66,0,1000.00,*35
664,388.02,50.90,#,#,#,#,#,#,#,186.39,0.32,24.63,37.02,-2.09,1.71,-9.42,-0.17,-0.29,0.46,25.66,0,1000.00,*C0
665,388.60,50.90,#,#,#,#,#,#,#,186.47,0.32,24.63,37.00,-2.56,0.89,-9.28,-0.19,-0.08,0.08,25.61,0,1000.00,*DA
666,389.18,50.90,#,#,#,#,#,#,#,186.35,0.32,24.63,36.95,-1.43,0.39,-9.15,0.57,0.62,-0.09,25.61,0,1000.00,*66
667,389.76,51.60,#,#,#,#,#,#,#,186.49,0.32,24.64,36.92,-2.46,1.34,-9.38,-0.47,-0.11,-0.44,25.71,0,1000.00,*C7
668,390.35,51.60,#,#,#,#,#,#,#,186.52,0.32,24.64,36.87,-1.62,0.43,-9.73,0.80,0.42,0.15,25.71,0,1000.00,*BE
669,390.93,51.60,#,#,#,#,#,#,#,186.53,0.32,24.64,36.82,-2.25,0.09,-8.77,-0.47,-0.42,0.40,25.61,0,1000.00,*FF
670,391.52,50.90,#,#,#,#,#,#,#,186.50,0.32,24.64,36.81,-2.13,0.17,-9.18,0.17,0.07,-0.02,25.71,0,1000.00,*DF
671,392.10,50.90,#,#,#,#,#,#,#,186.58,0.32,24.64,36.79,-3.44,-0.42,-8.99,-0.28,-0.08,0.02,25.66,0,1000.00,*67
672,392.68,51.60,#,#,#,#,#,#,#,186.59,0.32,24.64,36.75,-3.09,-0.07,-9.34,0.02,0.05,-0.10,25.61,0,1000.00,*36
673,393.27,50.90,#,#,#,#,#,#,#,186.72,0.32,24.65,36.73,-3.10,0.23,-9.09,-0.06,0.07,-0.01,25.71,0,1000.00,*E0
674,393.86,50.90,#,#,#,#,#,#,#,186.63,0.32,24.66,36.71,-3.01,0.42,-9.07,-0.08,0.04,0.01,25.61,0,1000.00,*D0
675,394.44,51.60,#,#,#,#,#,#,#,186.70,0.32,24.65,36.69,-2.88,0.40,-8.91,-0.08,0.02,0.00,25.75,0,1000.00,*50
676,395.02,51.60,#,#,#,#,#,#,#,186.52,0.32,24.65,36.66,-3.08,0.23,-9.22,-0.07,0.02,-0.02,25.57,0,1000.00,*83
677,395.61,51.60,#,#,#,#,#,#,#,186.70,0.32,24.65,36.64,-3.08,0.24,-9.15,-0.09,0.03,-0.00,25.66,0,1000.00,*43
