0,0.33,31.30,#,#,#,#,#,#,#,#,#,#,-9.79,-5.15,-2.84,0.26,0.23,-0.45,22.41,0,1000.00,*D7
38,22.31,39.00,#,#,#,#,#,#,#,185.22,0.32,23.07,38.47,-1.98,1.09,10.94,0.08,-0.18,-0.00,22.93,0,1000.00,*7A
39,22.89,39.00,#,#,#,#,#,#,#,185.16,0.32,23.07,38.00,-1.22,1.11,10.04,0.03,0.02,-0.43,22.88,0,1000.00,*C2
40,23.48,39.00,#,#,#,#,#,#,#,185.38,0.32,23.07,37.72,-0.55,0.44,9.78,-0.13,0.20,0.26,23.02,0,1000.00,*F3
41,24.06,39.00,#,#,#,#,#,#,#,185.36,0.32,23.08,37.55,-1.33,-0.05,12.66,-0.24,0.05,-0.01,23.02,0,1000.00,*F3
42,24.64,38.30,#,#,#,#,#,#,#,185.44,0.32,23.08,37.37,-0.59,0.30,9.38,-0.06,-0.19,-0.01,23.02,0,1000.00,*83
43,25.23,39.00,#,#,#,#,#,#,#,185.51,0.32,23.09,37.26,-0.20,1.22,9.08,-0.03,0.14,0.37,22.98,0,1000.00,*DB
44,25.81,39.00,#,#,#,#,#,#,#,185.56,0.32,23.09,37.16,0.61,0.38,10.06,-0.28,-0.15,0.01,23.07,0,1000.00,*DC
45,26.39,39.00,#,#,#,#,#,#,#,185.57,0.32,23.10,37.08,0.52,0.36,9.93,-0.03,0.01,-0.01,22.98,0,1000.00,*23
46,26.98,39.00,#,#,#,#,#,#,#,185.30,0.32,23.10,37.22,1.60,0.48,10.65,-0.15,-0.03,0.00,23.07,0,1000.00,*2E
47,27.56,39.00,#,#,#,#,#,#,#,185.40,0.32,23.10,37.62,1.07,0.67,9.76,0.08,-0.07,-0.01,23.02,0,1000.00,*94
48,28.14,39.70,#,#,#,#,#,#,#,185.34,0.32,23.10,38.10,1.36,0.59,10.08,-0.12,0.00,-0.51,22.98,0,1000.00,*6A
49,28.73,39.70,#,#,#,#,#,#,#,185.42,0.32,23.12,38.71,1.26,0.47,10.42,-0.08,0.08,-0.02,23.07,0,1000.00,*8B
50,29.31,39.00,#,#,#,#,#,#,#,185.38,0.32,23.11,39.09,1.16,0.38,11.35,-0.02,0.00,-0.18,23.07,0,1000.00,*30
51,29.89,39.00,#,#,#,#,#,#,#,185.64,0.32,23.11,38.73,1.41,0.69,10.05,-0.06,0.04,0.11,22.93,0,1000.00,*4F
52,30.47,39.70,#,#,#,#,#,#,#,185.51,0.32,23.11,38.22,1.37,0.48,9.93,-0.03,-0.00,-0.01,23.02,0,1000.00,*38
53,31.06,39.70,#,#,#,#,#,#,#,185.57,0.32,23.12,37.98,1.35,0.60,9.97,-0.07,0.03,-0.01,22.98,0,1000.00,*E3
54,31.64,39.70,#,#,#,#,#,#,#,185.41,0.32,23.12,37.86,1.05,0.53,10.11,-0.05,-0.02,-0.02,23.02,0,1000.00,*FD
55,32.23,39.70,#,#,#,#,#,#,#,185.15,0.32,23.13,37.83,1.34,0.57,10.06,-0.05,-0.00,-0.01,23.02,0,1000.00,*81
56,32.81,39.70,#,#,#,#,#,#,#,185.36,0.32,23.13,37.81,1.40,0.51,10.12,-0.06,0.01,-0.02,23.07,0,1000.00,*13
57,33.39,40.40,#,#,#,#,#,#,#,185.52,0.32,23.13,37.77,1.17,0.53,10.34,-0.05,0.00,-0.01,23.02,0,1000.00,*66
58,33.97,40.40,#,#,#,#,#,#,#,185.56,0.32,23.13,37.72,0.80,0.75,10.10,-0.03,-0.05,0.00,23.12,0,1000.00,*CE
59,34.56,40.40,#,#,#,#,#,#,#,185.65,0.31,23.14,37.64,0.70,0.79,10.52,-0.01,0.81,-0.09,23.12,0,1000.00,*49
60,35.15,40.40,#,#,#,#,#,#,#,185.67,0.32,23.14,37.52,1.29,0.64,10.16,-0.08,0.03,-0.02,23.17,0,1000.00,*A8
61,35.73,40.40,#,#,#,#,#,#,#,185.52,0.32,23.14,37.32,1.26,0.72,10.17,-0.07,0.04,-0.02,23.21,0,1000.00,*2E
62,36.31,40.40,#,#,#,#,#,#,#,185.64,0.32,23.14,37.11,0.72,1.37,10.07,-0.05,0.04,0.26,23.17,0,1000.00,*FB
63,36.90,40.40,#,#,#,#,#,#,#,185.43,0.32,23.14,36.96,1.32,0.84,10.07,-0.08,0.05,-0.01,23.17,0,1000.00,*60
64,37.48,40.40,#,#,#,#,#,#,#,185.31,0.32,23.15,36.88,1.23,0.77,10.15,-0.07,0.03,-0.01,23.07,0,1000.00,*CC
65,38.06,40.40,#,#,#,#,#,#,#,185.76,0.32,23.15,36.83,1.38,0.71,10.12,-0.04,0.00,-0.02,23.17,0,1000.00,*B9
66,38.65,40.40,#,#,#,#,#,#,#,185.56,0.32,23.15,36.77,1.29,0.78,10.11,-0.07,0.03,0.02,23.12,0,1000.00,*4A
67,39.23,40.40,#,#,#,#,#,#,#,185.48,0.32,23.16,36.72,1.23,0.78,10.08,-0.05,0.04,-0.00,23.17,0,1000.00,*47
68,39.81,41.10,#,#,#,#,#,#,#,185.64,0.32,23.15,36.69,1.59,0.72,9.55,-0.12,0.02,-0.03,23.12,0,1000.00,*89
69,40.39,40.40,#,#,#,#,#,#,#,185.50,0.32,23.15,36.60,0.96,0.72,10.15,-0.09,0.03,-0.06,23.12,0,1000.00,*76
70,40.98,40.40,#,#,#,#,#,#,#,185.57,0.32,23.16,36.53,1.14,0.71,10.20,-0.06,-0.05,-0.01,23.21,0,1000.00,*E9
71,41.56,40.40,#,#,#,#,#,#,#,185.54,0.32,23.16,36.51,1.50,0.83,10.00,-0.05,0.05,-0.18,23.12,0,1000.00,*61
72,42.14,41.10,#,#,#,#,#,#,#,185.56,0.32,23.16,36.52,-0.14,0.90,10.03,-0.05,0.33,-0.31,23.17,0,1000.00,*57
73,42.73,41.10,#,#,#,#,#,#,#,185.65,0.31,23.17,36.58,0.80,0.92,10.37,-0.12,0.10,-0.01,23.21,0,1000.00,*B8
74,43.32,41.10,#,#,#,#,#,#,#,185.80,0.32,23.17,36.65,0.42,0.75,10.76,-0.24,0.27,-0.02,23.21,0,1000.00,*34
75,43.90,41.10,#,#,#,#,#,#,#,185.76,0.32,23.16,36.74,0.66,0.47,10.13,-0.11,0.07,-0.33,23.21,0,1000.00,*EB
76,44.48,41.10,#,#,#,#,#,#,#,185.54,0.32,23.17,36.85,0.65,1.17,9.21,-0.13,0.10,0.13,23.26,0,1000.00,*A3
77,45.07,41.10,#,#,#,#,#,#,#,185.44,0.32,23.17,36.96,1.00,0.91,9.97,-0.03,-0.03,-0.05,23.21,0,1000.00,*77
78,45.65,41.10,#,#,#,#,#,#,#,185.21,0.32,23.17,37.12,0.88,0.96,10.14,0.02,-0.08,-0.01,23.12,0,1000.00,*7F
79,46.23,41.10,#,#,#,#,#,#,#,185.09,0.32,23.16,37.32,0.90,0.90,10.17,-0.07,0.04,-0.01,23.26,0,1000.00,*39
80,46.82,41.10,#,#,#,#,#,#,#,185.18,0.32,23.17,37.48,0.54,0.51,10.02,0.00,0.05,0.07,23.26,0,1000.00,*DE
